Property~Id элемента~Id;Property~Имя~DisplayName;Property~Полное имя~FullName;Property~Классификация~ItemTypeDisplayName;Link~Прием значения из~MasterSCADA.ReadValue;Link~Передача значения в~MasterSCADA.ReadValue
2227018;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Название механизма;MasterSCADA.Attribute;;
2227019;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Текущий режим;MasterSCADA.Attribute;;
2227020;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Текущее положение;MasterSCADA.Attribute;;
2227021;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Уставка;MasterSCADA.Attribute;;
2227022;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Подпись при наведении;MasterSCADA.Attribute;;
2227023;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Слово состояния;MasterSCADA.Attribute;;
2227024;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Слово положения;MasterSCADA.Attribute;;
2227025;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Блокировка управления;MasterSCADA.Attribute;;
2227026;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.В процессе открывания;MasterSCADA.Attribute;;
2227027;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.В процессе закрывания;MasterSCADA.Attribute;;
2227028;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Автоматический режим;MasterSCADA.Attribute;;
2227029;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Ручной режим;MasterSCADA.Attribute;;
2227030;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Статус режим;MasterSCADA.Attribute;;
2227031;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Сброс;MasterSCADA.Attribute;;
2227032;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Открыть;MasterSCADA.Attribute;;
2227033;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Закрыть;MasterSCADA.Attribute;;
2227034;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Подтверждение уставки;MasterSCADA.Attribute;;
2227035;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Местный режим;MasterSCADA.Attribute;;
2227036;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Дистанционный режим;MasterSCADA.Attribute;;
2227037;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227038;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Ключ управления;MasterSCADA.Attribute;;
