Property~Id~Id;Property~Имя~DisplayName;Property~Полное имя~FullName;Property~Классификация~ItemTypeDisplayName;Link~Прием значения из~MasterSCADA.ReadValue|False;Link~Передача значения в~MasterSCADA.ReadValue|True
2227018;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Название механизма;MasterSCADA.Attribute;;
2227019;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Текущий режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_1.AlarmCode.Вход;
2227020;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Текущее положение;MasterSCADA.Attribute;;
2227021;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Уставка;MasterSCADA.Attribute;;
2227022;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Подпись при наведении;MasterSCADA.Attribute;;
2227023;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Слово состояния;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_1.Background.Вход;
2227024;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Слово положения;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_1.Center.Вход;
2227025;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Блокировка управления;MasterSCADA.Attribute;;
2227026;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.В процессе открывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_1.OriginalState.InProcessOpen.Вход;
2227027;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.В процессе закрывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_1.OriginalState.InProcessClose.Вход;
2227028;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Автоматический режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_1.SetAuto
2227029;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Ручной режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_1.SetManual
2227030;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Статус режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_1.OriginalState.Auto;
2227031;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Сброс;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_1.ResetErrors
2227032;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Открыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_1.OpenManual
2227033;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Закрыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_1.CloseManual
2227034;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Подтверждение уставки;MasterSCADA.Attribute;;
2227035;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Местный режим;MasterSCADA.Attribute;;
2227036;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Дистанционный режим;MasterSCADA.Attribute;;
2227037;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227038;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Ключ управления;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_1.key;
2263617;Время ожидания ОС;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Время ожидания ОС;MasterSCADA.Attribute;;
2263752;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Блокировка.Вход;MasterSCADA.Attribute;;
2263756;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Блокировка.Выход;MasterSCADA.Attribute;;
2264984;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Включить защиту.Вход;MasterSCADA.Attribute;;
2264988;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_1.Включить защиту.Выход;MasterSCADA.Attribute;;
2227051;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Название механизма;MasterSCADA.Attribute;;
2227052;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Текущий режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_2.AlarmCode.Вход;
2227053;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Текущее положение;MasterSCADA.Attribute;;
2227054;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Уставка;MasterSCADA.Attribute;;
2227055;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Подпись при наведении;MasterSCADA.Attribute;;
2227056;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Слово состояния;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_2.Background.Вход;
2227057;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Слово положения;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_2.Center.Вход;
2227058;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Блокировка управления;MasterSCADA.Attribute;;
